,n_comp,analysis,pages,lda,freq,lda_topviews
59,3,dataset-opensubtitles_randomSeed-754_maxSize-None,Superman (2025 film),0.43458,0.4164,0.42928
60,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Deaths in 2025,0.4412,0.4164,-0.0
61,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Charlie Kirk,0.4412,0.4164,0.4231
62,4,dataset-opensubtitles_randomSeed-754_maxSize-None,ChatGPT,0.4412,0.4164,0.42474
63,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Ed Gein,0.4412,0.4164,0.41886
64,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Donald Trump,0.4412,0.4164,0.41888
65,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Zohran Mamdani,0.4412,0.4164,0.42663
66,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Elon Musk,0.4412,0.4164,0.42751
67,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Sinners (2025 film),0.4412,0.4164,0.4299
68,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Ozzy Osbourne,0.4412,0.4164,0.43118
69,4,dataset-opensubtitles_randomSeed-754_maxSize-None,Superman (2025 film),0.4412,0.4164,0.43087
70,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Deaths in 2025,0.44165,0.4164,-0.0
71,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Charlie Kirk,0.44165,0.4164,0.41812
72,5,dataset-opensubtitles_randomSeed-754_maxSize-None,ChatGPT,0.44165,0.4164,0.41423
73,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Ed Gein,0.44165,0.4164,0.42002
74,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Donald Trump,0.44165,0.4164,0.40265
75,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Zohran Mamdani,0.44165,0.4164,0.42387
76,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Elon Musk,0.44165,0.4164,0.41959
77,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Sinners (2025 film),0.44165,0.4164,0.42917
78,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Ozzy Osbourne,0.44165,0.4164,0.43087
79,5,dataset-opensubtitles_randomSeed-754_maxSize-None,Superman (2025 film),0.44165,0.4164,0.43033
