,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
58,5,0.34418,0.32782,0.33916,en_wiki,2,128,0.011340000000000017,0.016359999999999986
59,5,0.34418,0.32782,0.34044,en_wiki,2,256,0.01262000000000002,0.016359999999999986
60,5,0.34418,0.32782,0.342,en_wiki,2,512,0.014180000000000026,0.016359999999999986
61,5,0.34418,0.32782,0.34389,en_wiki,2,1024,0.016069999999999973,0.016359999999999986
62,5,0.34418,0.32782,0.344,en_wiki,2,2048,0.016179999999999972,0.016359999999999986
63,5,0.34418,0.32782,0.34398,en_wiki,2,4096,0.016160000000000008,0.016359999999999986
64,5,0.34418,0.32782,0.34393,en_wiki,2,8192,0.016110000000000013,0.016359999999999986
65,5,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
66,6,0.34418,0.32782,0.32936,en_wiki,2,16,0.0015399999999999858,0.016359999999999986
67,6,0.34418,0.32782,0.29174,en_wiki,2,32,-0.03608,0.016359999999999986
68,6,0.34418,0.32782,0.34413,en_wiki,2,64,0.01630999999999999,0.016359999999999986
69,6,0.34418,0.32782,0.34168,en_wiki,2,128,0.013859999999999983,0.016359999999999986
70,6,0.34418,0.32782,0.33915,en_wiki,2,256,0.011330000000000007,0.016359999999999986
71,6,0.34418,0.32782,0.34345,en_wiki,2,512,0.015629999999999977,0.016359999999999986
72,6,0.34418,0.32782,0.34416,en_wiki,2,1024,0.01634000000000002,0.016359999999999986
73,6,0.34418,0.32782,0.34412,en_wiki,2,2048,0.01629999999999998,0.016359999999999986
74,6,0.34418,0.32782,0.34413,en_wiki,2,4096,0.01630999999999999,0.016359999999999986
75,6,0.34418,0.32782,0.34389,en_wiki,2,8192,0.016069999999999973,0.016359999999999986
76,6,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
77,7,0.34418,0.32782,0.29545,en_wiki,2,16,-0.03237000000000001,0.016359999999999986
78,7,0.34418,0.32782,0.34177,en_wiki,2,32,0.013950000000000018,0.016359999999999986
79,7,0.34418,0.32782,0.33047,en_wiki,2,64,0.0026499999999999857,0.016359999999999986
80,7,0.34418,0.32782,0.34391,en_wiki,2,128,0.016089999999999993,0.016359999999999986
81,7,0.34418,0.32782,0.34407,en_wiki,2,256,0.016249999999999987,0.016359999999999986
82,7,0.34418,0.32782,0.34419,en_wiki,2,512,0.016369999999999996,0.016359999999999986
83,7,0.34418,0.32782,0.34389,en_wiki,2,1024,0.016069999999999973,0.016359999999999986
84,7,0.34418,0.32782,0.34367,en_wiki,2,2048,0.015849999999999975,0.016359999999999986
85,7,0.34418,0.32782,0.34388,en_wiki,2,4096,0.01606000000000002,0.016359999999999986
86,7,0.34418,0.32782,0.34401,en_wiki,2,8192,0.016189999999999982,0.016359999999999986
87,7,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
88,8,0.34418,0.32782,0.34299,en_wiki,2,16,0.015170000000000017,0.016359999999999986
89,8,0.34418,0.32782,0.3398,en_wiki,2,32,0.01197999999999999,0.016359999999999986
90,8,0.34418,0.32782,0.32016,en_wiki,2,64,-0.00766,0.016359999999999986
91,8,0.34418,0.32782,0.34418,en_wiki,2,128,0.016359999999999986,0.016359999999999986
92,8,0.34418,0.32782,0.34415,en_wiki,2,256,0.01633000000000001,0.016359999999999986
93,8,0.34418,0.32782,0.34407,en_wiki,2,512,0.016249999999999987,0.016359999999999986
94,8,0.34418,0.32782,0.34398,en_wiki,2,1024,0.016160000000000008,0.016359999999999986
95,8,0.34418,0.32782,0.34353,en_wiki,2,2048,0.015710000000000002,0.016359999999999986
96,8,0.34418,0.32782,0.34359,en_wiki,2,4096,0.015770000000000006,0.016359999999999986
97,8,0.34418,0.32782,0.34404,en_wiki,2,8192,0.016220000000000012,0.016359999999999986
98,8,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
99,9,0.34418,0.32782,0.26332,en_wiki,2,16,-0.0645,0.016359999999999986
100,9,0.34418,0.32782,0.3442,en_wiki,2,32,0.016380000000000006,0.016359999999999986
101,9,0.34418,0.32782,0.32239,en_wiki,2,64,-0.00542999999999999,0.016359999999999986
102,9,0.34418,0.32782,0.34354,en_wiki,2,128,0.015720000000000012,0.016359999999999986
103,9,0.34418,0.32782,0.3437,en_wiki,2,256,0.015880000000000005,0.016359999999999986
104,9,0.34418,0.32782,0.34411,en_wiki,2,512,0.016290000000000027,0.016359999999999986
105,9,0.34418,0.32782,0.34418,en_wiki,2,1024,0.016359999999999986,0.016359999999999986
106,9,0.34418,0.32782,0.34375,en_wiki,2,2048,0.01593,0.016359999999999986
107,9,0.34418,0.32782,0.34419,en_wiki,2,4096,0.016369999999999996,0.016359999999999986
108,9,0.34418,0.32782,0.34395,en_wiki,2,8192,0.016129999999999978,0.016359999999999986
109,9,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
110,10,0.34418,0.32782,0.34171,en_wiki,2,16,0.013890000000000013,0.016359999999999986
111,10,0.34418,0.32782,0.34262,en_wiki,2,32,0.01479999999999998,0.016359999999999986
112,10,0.34418,0.32782,0.33035,en_wiki,2,64,0.0025299999999999767,0.016359999999999986
113,10,0.34418,0.32782,0.34378,en_wiki,2,128,0.015959999999999974,0.016359999999999986
114,10,0.34418,0.32782,0.3391,en_wiki,2,256,0.011280000000000012,0.016359999999999986
115,10,0.34418,0.32782,0.34289,en_wiki,2,512,0.015069999999999972,0.016359999999999986
116,10,0.34418,0.32782,0.34374,en_wiki,2,1024,0.01591999999999999,0.016359999999999986
117,10,0.34418,0.32782,0.34401,en_wiki,2,2048,0.016189999999999982,0.016359999999999986
118,10,0.34418,0.32782,0.3442,en_wiki,2,4096,0.016380000000000006,0.016359999999999986
119,10,0.34418,0.32782,0.34397,en_wiki,2,8192,0.016149999999999998,0.016359999999999986
120,10,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
121,11,0.34418,0.32782,0.34388,en_wiki,2,16,0.01606000000000002,0.016359999999999986
122,11,0.34418,0.32782,0.29828,en_wiki,2,32,-0.02954000000000001,0.016359999999999986
123,11,0.34418,0.32782,0.32897,en_wiki,2,64,0.0011499999999999844,0.016359999999999986
124,11,0.34418,0.32782,0.33671,en_wiki,2,128,0.008890000000000009,0.016359999999999986
125,11,0.34418,0.32782,0.34243,en_wiki,2,256,0.014610000000000012,0.016359999999999986
126,11,0.34418,0.32782,0.34268,en_wiki,2,512,0.014859999999999984,0.016359999999999986
127,11,0.34418,0.32782,0.34307,en_wiki,2,1024,0.015249999999999986,0.016359999999999986
128,11,0.34418,0.32782,0.34418,en_wiki,2,2048,0.016359999999999986,0.016359999999999986
129,11,0.34418,0.32782,0.34373,en_wiki,2,4096,0.01590999999999998,0.016359999999999986
130,11,0.34418,0.32782,0.34408,en_wiki,2,8192,0.016259999999999997,0.016359999999999986
131,11,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
132,12,0.34418,0.32782,0.05913,en_wiki,2,16,-0.26869,0.016359999999999986
133,12,0.34418,0.32782,0.30706,en_wiki,2,32,-0.02076,0.016359999999999986
134,12,0.34418,0.32782,0.33429,en_wiki,2,64,0.006469999999999976,0.016359999999999986
135,12,0.34418,0.32782,0.33911,en_wiki,2,128,0.011290000000000022,0.016359999999999986
136,12,0.34418,0.32782,0.34404,en_wiki,2,256,0.016220000000000012,0.016359999999999986
137,12,0.34418,0.32782,0.34154,en_wiki,2,512,0.01372000000000001,0.016359999999999986
138,12,0.34418,0.32782,0.34338,en_wiki,2,1024,0.015560000000000018,0.016359999999999986
139,12,0.34418,0.32782,0.34415,en_wiki,2,2048,0.01633000000000001,0.016359999999999986
