,sim,lda,freq,lda_log_freq_1,analysis,n_comp,size,delta,delta_max
49,4,0.34418,0.32782,0.34102,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0131999999999999,0.0163599999999999
50,4,0.34418,0.32782,0.34417,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0163499999999999,0.0163599999999999
51,4,0.34418,0.32782,0.3442,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01638,0.0163599999999999
52,4,0.34418,0.32782,0.34394,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01612,0.0163599999999999
53,4,0.34418,0.32782,0.3441,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01628,0.0163599999999999
54,4,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
55,5,0.34418,0.32782,0.34389,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.0160699999999999,0.0163599999999999
56,5,0.34418,0.32782,0.31558,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.0122399999999999,0.0163599999999999
57,5,0.34418,0.32782,0.34387,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.01605,0.0163599999999999
58,5,0.34418,0.32782,0.33916,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.01134,0.0163599999999999
59,5,0.34418,0.32782,0.34044,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01262,0.0163599999999999
60,5,0.34418,0.32782,0.342,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01418,0.0163599999999999
61,5,0.34418,0.32782,0.34389,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0160699999999999,0.0163599999999999
62,5,0.34418,0.32782,0.344,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0161799999999999,0.0163599999999999
63,5,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01616,0.0163599999999999
64,5,0.34418,0.32782,0.34393,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01611,0.0163599999999999
65,5,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
66,6,0.34418,0.32782,0.32936,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.0015399999999999,0.0163599999999999
67,6,0.34418,0.32782,0.29174,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.03608,0.0163599999999999
68,6,0.34418,0.32782,0.34413,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0163099999999999,0.0163599999999999
69,6,0.34418,0.32782,0.34168,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0138599999999999,0.0163599999999999
70,6,0.34418,0.32782,0.33915,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01133,0.0163599999999999
71,6,0.34418,0.32782,0.34345,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0156299999999999,0.0163599999999999
72,6,0.34418,0.32782,0.34416,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.01634,0.0163599999999999
73,6,0.34418,0.32782,0.34412,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0162999999999999,0.0163599999999999
74,6,0.34418,0.32782,0.34413,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0163099999999999,0.0163599999999999
75,6,0.34418,0.32782,0.34389,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.0160699999999999,0.0163599999999999
76,6,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
77,7,0.34418,0.32782,0.29545,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.03237,0.0163599999999999
78,7,0.34418,0.32782,0.34177,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.01395,0.0163599999999999
79,7,0.34418,0.32782,0.33047,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0026499999999999,0.0163599999999999
80,7,0.34418,0.32782,0.34391,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0160899999999999,0.0163599999999999
81,7,0.34418,0.32782,0.34407,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.0162499999999999,0.0163599999999999
82,7,0.34418,0.32782,0.34419,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0163699999999999,0.0163599999999999
83,7,0.34418,0.32782,0.34389,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0160699999999999,0.0163599999999999
84,7,0.34418,0.32782,0.34367,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0158499999999999,0.0163599999999999
85,7,0.34418,0.32782,0.34388,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01606,0.0163599999999999
86,7,0.34418,0.32782,0.34401,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.0161899999999999,0.0163599999999999
87,7,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
88,8,0.34418,0.32782,0.34299,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.01517,0.0163599999999999
89,8,0.34418,0.32782,0.3398,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.0119799999999999,0.0163599999999999
90,8,0.34418,0.32782,0.32016,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,-0.00766,0.0163599999999999
91,8,0.34418,0.32782,0.34418,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0163599999999999,0.0163599999999999
92,8,0.34418,0.32782,0.34415,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01633,0.0163599999999999
93,8,0.34418,0.32782,0.34407,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0162499999999999,0.0163599999999999
94,8,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.01616,0.0163599999999999
95,8,0.34418,0.32782,0.34353,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01571,0.0163599999999999
96,8,0.34418,0.32782,0.34359,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01577,0.0163599999999999
97,8,0.34418,0.32782,0.34404,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01622,0.0163599999999999
98,8,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
99,9,0.34418,0.32782,0.26332,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.0645,0.0163599999999999
100,9,0.34418,0.32782,0.3442,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.01638,0.0163599999999999
101,9,0.34418,0.32782,0.32239,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,-0.0054299999999999,0.0163599999999999
102,9,0.34418,0.32782,0.34354,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.01572,0.0163599999999999
103,9,0.34418,0.32782,0.3437,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01588,0.0163599999999999
104,9,0.34418,0.32782,0.34411,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01629,0.0163599999999999
105,9,0.34418,0.32782,0.34418,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0163599999999999,0.0163599999999999
106,9,0.34418,0.32782,0.34375,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01593,0.0163599999999999
107,9,0.34418,0.32782,0.34419,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0163699999999999,0.0163599999999999
108,9,0.34418,0.32782,0.34395,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.0161299999999999,0.0163599999999999
109,9,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
110,10,0.34418,0.32782,0.34171,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.01389,0.0163599999999999
